time,temperature_2m (°C),relative_humidity_2m (%),rain (mm)
2019-01-01T00:00,19.6,36,0.00
2019-01-01T01:00,16.8,46,0.00
2019-01-01T02:00,16.1,47,0.00
2019-01-01T03:00,13.8,57,0.00
2019-01-01T04:00,13.4,57,0.00
2019-01-01T05:00,13.1,58,0.00
2019-01-01T06:00,11.9,63,0.00
2019-01-01T07:00,10.8,64,0.00
2019-01-01T08:00,10.4,63,0.00
2019-01-01T09:00,9.6,66,0.00
2019-01-01T10:00,8.4,72,0.00
2019-01-01T11:00,7.5,72,0.00
2019-01-01T12:00,7.3,80,0.00
2019-01-01T13:00,6.7,81,0.00
2019-01-01T14:00,6.2,81,0.00
2019-01-01T15:00,9.1,59,0.00
2019-01-01T16:00,13.1,44,0.00
2019-01-01T17:00,16.6,32,0.00
2019-01-01T18:00,19.6,23,0.00
2019-01-01T19:00,21.6,17,0.00
2019-01-01T20:00,23.0,13,0.00
2019-01-01T21:00,24.0,12,0.00
2019-01-01T22:00,24.0,14,0.00
2019-01-01T23:00,23.0,18,0.00
2019-01-02T00:00,20.0,21,0.00
2019-01-02T01:00,17.1,30,0.00
2019-01-02T02:00,16.4,33,0.00
2019-01-02T03:00,14.9,55,0.00
2019-01-02T04:00,13.4,78,0.00
2019-01-02T05:00,12.1,82,0.00
2019-01-02T06:00,11.6,88,0.00
2019-01-02T07:00,10.9,94,0.00
2019-01-02T08:00,10.5,94,0.00
2019-01-02T09:00,10.7,90,0.00
2019-01-02T10:00,10.1,91,0.00
2019-01-02T11:00,9.5,93,0.00
2019-01-02T12:00,9.1,94,0.00
2019-01-02T13:00,8.6,95,0.00
2019-01-02T14:00,8.2,94,0.00
2019-01-02T15:00,9.2,85,0.00
2019-01-02T16:00,12.6,65,0.00
2019-01-02T17:00,16.1,44,0.00
2019-01-02T18:00,19.0,35,0.00
2019-01-02T19:00,21.6,25,0.00
2019-01-02T20:00,23.4,16,0.00
2019-01-02T21:00,23.9,12,0.00
2019-01-02T22:00,23.3,14,0.00
2019-01-02T23:00,22.0,16,0.00
2019-01-03T00:00,18.4,21,0.00
2019-01-03T01:00,15.7,30,0.00
2019-01-03T02:00,14.1,38,0.00
2019-01-03T03:00,13.0,51,0.00
2019-01-03T04:00,10.9,53,0.00
2019-01-03T05:00,8.9,52,0.00
2019-01-03T06:00,8.2,58,0.00
2019-01-03T07:00,8.0,62,0.00
2019-01-03T08:00,7.8,66,0.00
2019-01-03T09:00,7.2,76,0.00
2019-01-03T10:00,8.4,65,0.00
2019-01-03T11:00,8.9,58,0.00
2019-01-03T12:00,9.4,52,0.00
2019-01-03T13:00,9.1,53,0.00
2019-01-03T14:00,8.1,68,0.00
2019-01-03T15:00,10.9,48,0.00
2019-01-03T16:00,13.8,39,0.00
2019-01-03T17:00,16.5,33,0.00
2019-01-03T18:00,18.6,26,0.00
2019-01-03T19:00,20.6,21,0.00
2019-01-03T20:00,21.9,20,0.00
2019-01-03T21:00,22.7,19,0.00
2019-01-03T22:00,22.8,18,0.00
2019-01-03T23:00,21.7,25,0.00
2019-01-04T00:00,18.9,36,0.00
2019-01-04T01:00,17.0,43,0.00
2019-01-04T02:00,15.8,49,0.00
2019-01-04T03:00,14.2,60,0.00
2019-01-04T04:00,13.1,67,0.00
2019-01-04T05:00,13.9,53,0.00
2019-01-04T06:00,11.6,67,0.00
2019-01-04T07:00,12.2,57,0.00
2019-01-04T08:00,11.2,62,0.00
2019-01-04T09:00,9.8,70,0.00
2019-01-04T10:00,7.7,82,0.00
2019-01-04T11:00,7.4,87,0.00
2019-01-04T12:00,7.8,83,0.00
2019-01-04T13:00,7.8,84,0.00
2019-01-04T14:00,8.4,78,0.00
2019-01-04T15:00,10.9,62,0.00
2019-01-04T16:00,14.4,49,0.00
2019-01-04T17:00,17.4,36,0.00
2019-01-04T18:00,19.6,29,0.00
2019-01-04T19:00,20.9,29,0.00
2019-01-04T20:00,21.9,29,0.00
2019-01-04T21:00,22.9,28,0.00
2019-01-04T22:00,23.1,27,0.00
2019-01-04T23:00,22.2,29,0.00
2019-01-05T00:00,19.5,32,0.00
2019-01-05T01:00,17.5,35,0.00
2019-01-05T02:00,17.1,37,0.00
2019-01-05T03:00,15.5,57,0.00
2019-01-05T04:00,14.1,65,0.00
2019-01-05T05:00,14.8,59,0.00
2019-01-05T06:00,14.4,62,0.00
2019-01-05T07:00,13.7,65,0.00
2019-01-05T08:00,12.1,74,0.00
2019-01-05T09:00,11.4,80,0.00
2019-01-05T10:00,10.6,84,0.00
2019-01-05T11:00,9.1,90,0.00
2019-01-05T12:00,10.4,86,0.00
2019-01-05T13:00,8.4,94,0.00
2019-01-05T14:00,9.7,89,0.00
2019-01-05T15:00,12.1,71,0.00
2019-01-05T16:00,15.4,54,0.00
2019-01-05T17:00,18.3,45,0.00
2019-01-05T18:00,20.9,39,0.00
2019-01-05T19:00,22.6,33,0.00
2019-01-05T20:00,23.6,30,0.00
2019-01-05T21:00,24.1,27,0.00
2019-01-05T22:00,24.2,26,0.00
2019-01-05T23:00,23.8,27,0.00
2019-01-06T00:00,22.5,27,0.00
